1;13;23;20;21;20;16;18;18;18;4;6;6;4;6;17;1;12;19;23;23;4;1;1;23;19;1;4;4;5;4;4;2;16;9;1;1;5;5;5;1;5;4;4;4;6;6;12;18;18;18;16;10;8;22;24;22;20;18;16;16;16;16;12;12;12;12;12;8;12;8;12;12;12;12;12;12;8;6;8;6;6;6;6;6;6;6;6;6;12;17;11;13;11;13;11;13;11;11;11;15;11;15;15;17
1;13;23;20;19;21;16;18;20;21;8;16;13;6;16;17;1;19;19;21;23;21;1;9;20;19;1;4;1;17;12;1;2;21;5;1;1;4;5;1;5;4;6;6;4;6;3;7;18;23;20;10;12;8;16;24;24;24;23;23;20;20;20;18;20;18;18;18;18;18;18;18;18;18;18;20;18;18;18;16;16;16;12;12;12;12;7;8;3;16;19;13;13;13;13;13;13;13;13;11;17;15;11;17;19
1;15;22;20;19;20;21;18;18;23;12;12;13;15;20;5;1;20;19;21;19;23;9;6;21;19;11;4;4;22;1;2;18;19;1;1;1;5;5;1;5;9;6;6;6;8;14;7;8;20;24;23;10;12;6;23;24;24;24;24;24;24;24;23;23;23;23;23;22;20;23;20;23;23;23;23;23;23;23;20;20;20;20;20;20;20;18;18;20;23;19;4;13;14;13;15;13;15;13;13;17;17;15;17;21
1;17;22;19;19;23;20;18;12;24;16;6;13;16;15;1;5;24;15;21;17;19;19;1;19;19;4;1;19;13;13;14;21;13;1;1;4;4;1;1;5;4;11;16;8;8;8;7;7;6;16;24;23;16;4;21;24;22;23;24;24;24;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;23;23;23;23;23;23;23;23;23;24;19;2;14;13;14;13;14;13;17;13;15;17;15;17;21
1;21;21;12;21;20;20;20;12;23;23;6;12;19;4;1;11;24;4;15;22;5;22;5;16;21;1;4;19;11;22;19;21;1;1;6;4;4;5;5;5;4;5;15;18;16;3;7;10;7;5;12;23;23;4;12;24;21;1;11;17;19;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;23;23;23;23;23;23;23;23;23;24;19;2;14;13;14;13;13;14;13;15;13;19;11;17;21
1;23;17;19;20;21;18;20;12;23;24;15;4;19;6;5;15;24;11;1;22;5;15;19;21;18;1;17;19;21;15;15;9;1;1;15;23;6;1;5;4;4;5;1;6;16;7;7;7;18;10;4;6;20;10;6;24;24;15;1;1;1;5;11;15;19;21;19;19;19;19;19;19;19;19;21;21;21;21;23;24;23;23;23;23;23;23;23;23;24;19;2;13;14;13;14;14;13;14;13;19;17;9;19;19
5;24;17;21;20;19;18;18;16;24;24;19;1;16;15;4;15;24;11;4;21;11;5;20;18;16;2;22;19;9;1;1;1;1;1;1;19;24;21;4;4;11;6;4;4;2;8;7;10;10;10;10;12;8;18;15;21;24;23;5;1;5;4;4;1;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;19;23;23;23;23;23;23;23;23;24;21;2;13;14;14;17;14;17;14;13;21;15;11;19;17
9;24;15;21;24;17;18;10;18;20;24;22;1;15;16;5;6;24;11;21;21;1;4;23;20;16;18;20;1;1;1;1;1;1;1;1;1;11;24;23;15;6;11;8;8;8;8;7;7;10;10;10;10;10;10;8;21;24;24;19;1;4;4;9;13;6;6;11;6;13;13;13;13;13;13;13;13;11;6;4;1;21;24;23;23;23;23;23;23;24;21;2;14;14;14;14;14;19;14;14;19;9;19;17;19
9;23;15;21;23;17;18;7;7;8;22;24;6;4;16;4;9;23;17;21;22;5;1;20;20;20;23;15;1;1;1;5;6;6;4;4;1;1;5;23;24;19;6;8;12;7;7;7;10;10;10;10;10;10;10;7;19;24;24;24;9;1;4;4;9;13;6;13;6;13;13;13;13;13;13;13;13;13;13;11;4;15;24;23;23;24;23;23;23;24;16;2;2;14;14;14;14;19;2;21;13;17;19;17;19
9;21;17;21;23;19;21;10;3;3;20;24;19;4;16;4;9;20;17;19;23;17;5;23;18;20;23;6;1;5;4;12;16;19;12;15;5;1;1;1;21;24;18;12;12;7;10;10;10;10;10;10;10;10;10;10;15;24;24;24;19;1;4;6;6;13;13;6;13;13;13;13;13;13;13;13;13;13;11;13;11;5;17;24;23;24;23;23;23;23;14;2;14;14;14;14;19;14;14;19;9;19;17;17;19
5;17;19;23;23;21;21;18;3;3;20;24;23;4;11;6;11;17;15;20;20;19;6;20;22;20;23;6;5;4;13;15;11;11;12;15;6;5;5;1;1;21;24;20;10;7;10;10;10;10;10;10;10;10;10;10;13;23;24;24;23;5;5;4;9;4;13;13;13;13;13;13;13;13;13;13;13;13;13;13;15;13;1;18;24;23;24;23;23;23;14;2;14;14;14;16;14;13;19;13;13;17;17;17;19
1;15;19;23;24;19;19;18;7;3;16;22;24;13;1;6;17;11;17;20;22;6;9;23;20;24;20;11;4;9;6;5;5;1;5;5;6;4;4;5;1;1;21;24;20;18;10;10;10;10;10;10;10;10;10;10;6;23;24;23;24;17;1;4;13;13;13;6;13;13;13;13;13;13;13;13;13;13;13;13;13;13;19;12;20;23;24;23;24;22;4;8;14;14;14;14;14;14;14;17;17;17;17;17;19
1;17;19;23;23;11;21;18;3;7;19;19;24;21;1;5;16;15;21;23;16;6;21;20;18;24;18;4;4;4;5;4;5;5;1;5;5;6;6;6;6;1;1;21;24;22;18;18;18;10;10;10;10;18;20;10;8;21;24;24;24;22;1;4;4;4;6;13;13;6;13;13;13;13;13;13;13;13;15;13;13;19;12;2;10;23;23;24;24;19;2;13;14;14;14;16;14;14;16;19;17;17;17;15;19
1;17;19;24;20;15;23;18;7;7;12;15;24;23;4;1;20;19;21;20;2;12;24;16;19;24;21;2;6;4;6;6;6;4;5;5;5;4;8;8;8;8;2;1;21;24;23;18;18;18;10;10;18;18;20;20;8;12;24;24;23;24;13;1;4;13;13;13;13;13;13;13;13;13;13;13;13;13;15;13;19;14;2;2;18;20;24;24;24;21;2;8;14;14;14;16;14;14;19;13;13;17;17;15;19
1;17;19;23;21;17;24;10;7;10;19;6;23;24;15;1;20;21;22;7;2;23;23;18;19;24;16;2;6;8;13;8;12;12;8;6;6;4;8;8;7;7;16;6;1;15;24;24;20;20;20;10;10;10;18;20;12;6;23;24;23;24;22;5;4;4;4;13;13;13;13;13;13;13;13;13;13;13;13;11;21;18;2;7;20;20;23;24;24;23;13;2;14;3;21;14;13;14;19;13;13;13;17;17;17
1;17;17;20;18;19;23;18;7;16;16;12;23;24;17;1;22;21;18;8;16;23;20;19;18;24;12;3;3;7;16;10;10;12;12;12;12;8;8;3;7;7;10;10;12;1;5;23;24;23;20;20;20;18;18;18;18;6;21;24;24;23;24;13;1;6;13;13;13;13;13;13;13;13;13;13;14;15;13;9;21;24;10;7;18;20;24;21;23;22;2;14;14;14;14;14;19;14;13;19;19;13;13;19;19
1;13;21;21;20;21;23;16;7;7;8;18;24;24;21;1;21;19;18;12;23;20;20;18;18;23;3;3;7;10;10;10;10;10;10;10;10;7;10;7;7;10;10;10;18;18;5;1;19;24;23;20;18;20;18;10;10;8;16;24;24;24;24;23;1;4;4;13;13;14;13;13;14;16;21;19;19;21;19;17;19;24;10;10;10;24;23;1;23;14;2;14;14;14;14;19;14;14;14;21;11;13;13;21;19
1;5;21;20;20;22;23;7;7;7;14;20;24;24;19;1;20;21;16;16;23;20;20;18;20;20;3;3;7;7;10;10;18;18;18;18;10;10;10;10;10;10;10;10;10;20;20;12;1;4;24;24;23;20;20;18;10;12;8;22;24;23;24;24;17;4;13;2;13;13;13;16;21;16;14;13;13;13;12;16;16;20;10;10;20;24;19;1;23;13;8;14;14;14;14;14;14;14;21;13;13;13;17;21;11
1;11;19;20;22;23;18;3;7;7;7;20;24;21;15;5;20;19;18;10;20;20;20;18;20;18;3;3;7;10;10;10;10;18;18;20;18;18;10;10;10;10;10;10;10;18;18;20;18;4;1;22;24;23;20;20;10;10;8;16;24;23;23;24;24;2;2;19;13;14;21;16;3;2;4;6;4;4;4;2;3;3;3;23;24;24;15;15;24;2;2;14;14;14;14;14;14;16;19;13;13;13;21;17;9
1;9;21;21;23;23;3;3;7;14;7;20;24;19;12;9;21;20;16;18;21;18;20;18;23;16;3;7;7;7;10;10;10;10;20;20;20;20;20;18;10;10;10;10;10;10;20;20;20;20;12;1;17;24;24;18;18;10;10;12;23;24;23;23;24;21;2;8;16;21;14;3;3;13;4;4;4;4;6;2;3;2;20;24;24;24;15;15;19;4;14;14;14;14;14;14;14;16;13;19;13;17;21;15;15
1;1;21;20;23;22;2;3;7;16;16;18;24;20;21;9;21;20;18;18;20;20;20;18;20;12;3;7;7;10;10;10;10;10;18;20;23;20;20;20;20;18;18;10;10;10;10;20;20;20;20;18;1;4;23;24;22;18;10;12;22;24;23;23;24;24;16;2;8;7;14;3;3;6;4;4;4;4;4;2;3;23;24;23;24;24;24;19;1;4;13;14;14;14;16;14;19;14;19;17;13;19;19;11;19
1;1;17;21;23;21;1;8;16;18;7;18;23;22;23;6;15;23;20;20;22;22;18;18;18;8;7;10;10;10;10;18;18;18;10;20;20;23;20;20;20;18;10;18;10;10;10;10;10;20;20;20;20;6;1;19;24;24;22;20;23;24;23;23;23;24;24;16;2;2;7;14;6;4;4;9;5;5;2;2;23;24;22;24;24;23;24;24;22;13;14;14;14;14;14;14;16;14;21;13;13;21;17;11;19
1;1;15;22;20;20;4;8;10;20;7;18;24;20;23;15;6;23;18;23;23;22;20;20;10;3;10;10;10;18;18;18;20;18;18;10;10;20;20;20;20;20;18;10;10;10;10;10;10;10;10;10;18;23;16;1;8;24;24;24;23;23;23;23;23;23;24;24;20;2;2;6;6;4;5;5;5;4;1;21;22;22;23;24;23;23;23;24;24;16;14;14;14;14;14;19;14;14;17;13;13;19;15;15;19
1;1;15;19;21;21;6;8;16;18;7;20;23;23;24;12;5;23;20;17;20;22;20;20;10;7;10;10;10;18;20;20;20;18;20;18;18;21;20;20;20;10;18;10;10;10;10;10;10;10;7;7;7;7;18;18;12;7;20;24;23;24;23;23;23;23;23;23;24;23;12;2;1;4;5;4;5;1;8;19;19;24;23;24;23;23;24;23;24;7;3;16;16;14;14;14;14;14;19;13;17;17;15;17;19
1;1;17;17;21;20;15;12;7;18;16;18;23;23;24;20;1;21;24;19;15;23;23;20;10;3;7;10;10;18;20;20;20;20;20;20;20;20;20;20;20;20;20;10;10;10;10;10;10;10;10;10;7;7;3;7;10;10;7;18;24;24;23;23;23;23;23;23;23;24;24;21;6;1;1;4;4;1;21;19;21;23;24;23;23;23;23;24;24;7;3;14;21;14;14;14;14;16;19;13;19;15;17;17;19
1;1;19;17;20;24;20;12;7;18;18;18;21;23;23;24;5;15;24;23;12;20;23;20;10;3;10;10;10;20;20;23;23;23;23;23;23;23;23;23;23;20;20;10;10;10;10;10;10;10;10;10;7;7;7;12;7;7;7;7;20;24;23;23;23;23;23;23;23;23;23;24;23;19;4;1;1;8;21;19;23;23;24;23;23;23;24;24;23;7;3;3;14;21;14;14;14;22;13;14;19;15;19;19;21
1;11;19;15;23;23;24;20;10;10;18;20;19;19;24;24;12;4;23;23;19;20;23;20;7;7;7;7;10;20;23;23;23;23;23;23;22;23;23;23;23;20;20;20;10;10;10;10;10;10;10;10;10;10;10;7;7;8;7;3;8;23;24;23;23;23;23;23;23;23;23;23;23;24;23;19;12;22;20;22;23;24;23;23;23;23;23;24;24;7;3;14;14;19;16;14;14;19;13;21;15;15;17;21;22
1;11;19;6;21;24;24;20;18;7;18;20;17;21;23;23;20;5;18;20;16;22;23;20;7;7;7;7;7;10;24;24;23;23;23;23;23;23;23;23;23;23;20;20;18;18;10;10;10;10;10;10;10;10;7;10;10;10;7;3;3;8;24;24;23;23;23;23;23;23;23;23;23;23;24;24;24;23;23;24;23;24;23;23;24;23;23;24;23;16;7;16;16;14;14;14;16;13;14;19;9;15;19;17;19
1;4;9;9;18;23;24;20;18;10;18;21;17;24;15;21;23;8;16;20;19;23;23;18;7;7;7;7;7;3;20;24;23;23;23;23;23;23;23;23;23;23;23;20;20;20;18;10;10;10;10;10;10;10;10;10;7;10;10;12;3;2;8;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;23;23;23;23;23;23;24;23;18;16;18;23;21;2;14;14;21;21;11;11;15;17;19;17
1;5;5;4;21;24;24;18;20;10;7;21;22;24;11;21;24;12;16;20;16;20;23;18;7;7;7;7;7;3;12;24;24;23;23;23;23;23;23;23;23;23;23;23;20;18;18;20;18;10;10;10;10;10;10;10;10;10;10;12;7;8;2;8;24;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;23;24;23;23;23;23;19;2;2;2;13;15;17;17;15;17;21;17
1;1;5;6;19;24;23;22;18;7;16;18;23;23;11;21;24;16;10;20;17;21;23;18;7;7;7;3;7;3;8;22;24;23;23;23;23;23;23;23;23;23;23;23;23;22;19;21;20;18;10;18;10;10;10;18;10;18;10;10;16;7;8;2;8;24;24;23;23;23;23;23;23;23;23;23;23;23;23;24;23;23;23;24;23;23;23;23;24;23;23;24;23;2;2;14;22;22;9;9;13;15;19;19;19
5;1;5;17;9;23;24;23;16;7;16;19;23;24;11;17;24;16;16;20;15;21;23;18;3;7;3;7;3;7;3;21;24;23;23;23;23;23;23;23;23;23;23;23;23;24;23;21;18;20;20;10;18;20;18;18;18;18;18;18;16;16;12;8;1;8;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;24;23;24;24;24;24;24;22;13;21;23;24;24;23;9;9;15;21;19;19
5;1;1;17;15;21;24;12;12;18;18;17;23;24;12;15;24;12;16;22;12;22;23;7;7;7;3;7;3;7;2;16;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;24;21;19;20;21;16;19;20;20;20;20;20;18;21;18;16;16;12;2;8;24;24;24;23;23;23;23;23;23;23;23;24;23;23;23;23;24;23;23;24;23;21;23;24;24;23;24;24;24;24;23;24;15;1;15;17;17;19
1;1;1;11;21;20;22;1;19;18;23;15;19;24;19;15;24;12;16;21;12;23;20;7;7;7;7;14;7;3;7;6;23;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;24;23;21;22;20;19;10;21;22;22;22;22;20;18;18;16;16;12;2;16;24;23;23;23;23;23;23;23;23;23;23;23;24;23;24;23;24;23;24;20;2;2;12;24;24;24;23;24;23;24;24;19;17;21;21;21;23
5;1;1;1;21;23;15;4;18;18;23;19;15;24;18;12;18;6;22;16;15;23;18;7;7;3;7;3;7;3;16;15;15;24;24;24;23;24;23;23;24;24;23;23;23;23;23;23;23;23;23;22;23;23;22;22;22;22;23;23;22;20;21;18;18;10;12;3;18;24;24;23;23;23;23;23;23;23;23;24;23;24;24;24;23;24;23;7;3;7;2;2;22;24;24;23;24;23;23;24;23;24;23;24;23
5;1;1;1;19;23;6;21;20;16;23;18;15;24;20;7;14;8;23;16;12;22;20;7;7;7;3;7;14;3;18;20;1;17;24;24;24;23;24;24;24;23;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;22;23;23;23;22;21;18;16;18;12;7;20;23;24;23;23;23;23;24;23;24;24;24;24;23;20;22;24;16;3;3;7;16;3;2;16;24;24;24;24;23;23;23;23;23;23;23
4;5;1;1;12;23;15;11;24;16;20;21;17;24;20;7;7;16;22;16;16;23;18;7;7;7;7;3;7;7;16;20;1;1;5;17;22;24;22;19;1;1;21;24;24;23;23;22;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;22;22;18;16;10;16;7;20;20;22;22;23;24;23;24;23;24;24;22;3;7;18;10;3;7;7;8;7;10;8;4;19;24;24;24;24;23;23;23;23;23;23
4;1;1;1;15;23;23;6;11;15;16;23;18;24;18;7;7;21;23;16;21;22;18;7;7;3;7;14;7;7;7;21;11;15;9;9;17;21;17;11;15;15;9;11;21;24;24;23;23;23;22;23;23;23;23;23;23;23;22;23;23;23;23;23;22;20;20;18;10;10;10;10;7;16;24;23;24;23;24;24;19;3;3;7;7;7;10;10;7;16;7;7;7;8;4;23;24;24;24;23;23;23;23;23;23
